model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
BERT Base,5,8,5,0.13251477944520237,0.07917187415095366,0.4061890158907165,0.4061890158907165,0.9941256058207322,151,1170
BERT Base,5,8,6,0.12082699364539515,0.07196545658084119,0.3763590744354614,0.3763590744354614,0.9939651051418108,144,1313
BERT Base,5,8,7,0.158156240646513,0.10070132642171063,0.3682743239475885,0.3682743239475885,0.9959105258979805,140,1473
BERT Base,5,8,8,0.02647877294405352,0.013699825479930192,0.39392249790911626,0.39392249790911626,0.9647359555839503,118,1166
BERT Base,5,8,9,0.02450091546741909,0.012651868091714626,0.3861165319208252,0.3861165319208252,0.9625319311420889,98,1289
BERT Base,5,8,10,0.02472012835106526,0.012770646959678465,0.3844438249233343,0.3844438249233343,0.9630456719761308,98,1313
BERT Base,5,8,11,0.02356914018529743,0.012162319151407915,0.37942570393086145,0.37942570393086145,0.9616802029172299,92,1377
BERT Base,5,9,2,0.17340900857384373,0.11067437379576107,0.4003345413994982,0.4003345413994982,0.9959999625613967,168,1081
BERT Base,5,9,3,0.16334293948126802,0.10295720409794376,0.39503763590744356,0.39503763590744356,0.9957202129979205,158,1146
BERT Base,5,9,4,0.16078631895915005,0.10097045811331526,0.3944800669082799,0.3944800669082799,0.9956325096031751,144,1253
